,Subcategory,Age Group Upper Limit,Year,Price per filled day,Spending per person,Utilization per 1000 persons
0,Anti_Infectives,18,2012,12.610455555555555,14.764955555555556,3459.7209444444443
1,Anti_Infectives,18,2013,14.669633333333334,15.504144444444442,3254.608911111111
2,Anti_Infectives,18,2014,17.52144444444444,14.934200000000004,3100.666555555555
3,Anti_Infectives,18,2015,16.14218888888889,14.120733333333332,3105.5228000000006
4,Anti_Infectives,18,2016,15.473244444444443,13.385800000000001,2996.774788888889
5,Anti_Infectives,25,2012,15.922077777777778,13.887222222222222,3162.1762333333336
6,Anti_Infectives,25,2013,19.40835555555556,14.962522222222226,3080.970233333333
7,Anti_Infectives,25,2014,26.833577777777773,15.705233333333332,2983.599222222222
8,Anti_Infectives,25,2015,25.636566666666667,17.289355555555556,2957.5673444444446
9,Anti_Infectives,25,2016,23.72322222222222,18.86172222222222,2824.0726111111117
10,Anti_Infectives,44,2012,16.889411111111112,24.381622222222223,4086.007733333334
11,Anti_Infectives,44,2013,23.084466666666664,25.899488888888882,4001.986966666667
12,Anti_Infectives,44,2014,30.06816666666666,28.786622222222224,3888.637088888889
13,Anti_Infectives,44,2015,31.878411111111106,32.87232222222224,3888.894944444445
14,Anti_Infectives,44,2016,23.580855555555555,36.19447777777778,3751.2999999999997
15,Anti_Infectives,54,2012,18.603244444444442,41.15045555555556,5125.178088888888
16,Anti_Infectives,54,2013,23.83422222222222,41.9291,5132.0279666666665
17,Anti_Infectives,54,2014,30.359166666666663,54.6700888888889,5071.970666666665
18,Anti_Infectives,54,2015,35.945455555555554,65.4678888888889,5149.896199999999
19,Anti_Infectives,54,2016,28.910555555555554,62.16846666666667,5025.324244444444
20,Anti_Infectives,64,2012,20.24192222222222,38.37929999999999,5585.421666666666
21,Anti_Infectives,64,2013,23.17862222222222,37.40457777777778,5605.848922222222
22,Anti_Infectives,64,2014,44.31395555555556,73.06807777777777,5610.509533333334
23,Anti_Infectives,64,2015,63.36975555555556,103.16703333333334,5711.406299999999
24,Anti_Infectives,64,2016,42.965944444444446,78.19805555555553,5564.506733333333
25,Cardiovascular,18,2012,11.658977777777777,0.7449555555555557,562.7967666666667
26,Cardiovascular,18,2013,13.33628888888889,0.7934222222222221,598.5654222222222
27,Cardiovascular,18,2014,10.784655555555556,0.6799222222222224,651.4719333333334
28,Cardiovascular,18,2015,8.367244444444445,0.6314777777777777,700.1987222222222
29,Cardiovascular,18,2016,10.561322222222223,0.7944888888888889,705.7951777777778
30,Cardiovascular,25,2012,4.985155555555555,1.3728555555555557,1158.165911111111
31,Cardiovascular,25,2013,6.168955555555555,1.3394,1185.320411111111
32,Cardiovascular,25,2014,8.472299999999999,1.1863222222222225,1216.9556444444445
33,Cardiovascular,25,2015,8.877644444444444,1.0912111111111111,1300.1928444444445
34,Cardiovascular,25,2016,4.520622222222221,1.1619666666666666,1426.1264444444448
35,Cardiovascular,44,2012,4.224544444444444,13.516633333333333,10139.965644444448
36,Cardiovascular,44,2013,6.1307,12.107622222222222,10133.01891111111
37,Cardiovascular,44,2014,7.178088888888889,10.510977777777779,10018.199044444445
38,Cardiovascular,44,2015,10.374344444444445,9.55178888888889,10075.499799999998
39,Cardiovascular,44,2016,13.735344444444443,8.947522222222222,10046.156188888888
40,Cardiovascular,54,2012,3.4372999999999996,59.787611111111104,41153.803555555554
41,Cardiovascular,54,2013,5.112966666666667,53.33218888888889,41087.11825555555
42,Cardiovascular,54,2014,7.413666666666667,48.360533333333336,41566.98318888889
43,Cardiovascular,54,2015,8.863300000000002,45.00588888888889,42136.62284444444
44,Cardiovascular,54,2016,4.352922222222222,42.44598888888889,42057.39951111111
45,Cardiovascular,64,2012,4.051966666666667,126.0128777777778,85452.20076666668
46,Cardiovascular,64,2013,5.8840555555555545,111.33243333333333,84327.2921
47,Cardiovascular,64,2014,6.889622222222223,101.93805555555556,84408.12014444446
48,Cardiovascular,64,2015,7.346233333333334,96.2371,85072.76782222223
49,Cardiovascular,64,2016,4.180466666666666,90.28431111111112,84062.19764444444
50,Central_Nervous_System,18,2012,10.63578888888889,31.726444444444454,7410.942633333333
51,Central_Nervous_System,18,2013,14.300099999999999,33.125566666666664,7619.196888888889
52,Central_Nervous_System,18,2014,14.629966666666668,33.80836666666667,7487.38301111111
53,Central_Nervous_System,18,2015,12.946866666666667,35.26874444444444,7684.857022222221
54,Central_Nervous_System,18,2016,5.835277777777777,35.825355555555554,7849.886788888889
55,Central_Nervous_System,25,2012,18.97993333333333,40.047533333333334,13068.670544444443
56,Central_Nervous_System,25,2013,21.828211111111113,39.81477777777778,13292.148444444443
57,Central_Nervous_System,25,2014,26.398733333333336,39.85581111111112,13222.347366666667
58,Central_Nervous_System,25,2015,27.752111111111113,41.147166666666664,13814.468199999998
59,Central_Nervous_System,25,2016,7.034455555555556,43.48168888888889,14595.807211111112
60,Central_Nervous_System,44,2012,20.53817777777778,53.836977777777776,22749.645566666666
61,Central_Nervous_System,44,2013,22.873155555555556,53.49675555555555,22934.014000000003
62,Central_Nervous_System,44,2014,24.020477777777778,51.49011111111111,22598.794522222226
63,Central_Nervous_System,44,2015,28.13132222222222,49.68803333333333,22929.7257
64,Central_Nervous_System,44,2016,10.360655555555557,50.631144444444445,23137.201277777778
65,Central_Nervous_System,54,2012,19.270055555555555,81.32575555555555,36084.663522222225
66,Central_Nervous_System,54,2013,21.63592222222222,80.39497777777778,36352.14572222222
67,Central_Nervous_System,54,2014,22.98478888888889,77.17593333333335,36346.900288888886
